;FA1;G0;G0N;G0F;M5;G0FN;G1;G16F;G13F;G16FN;G13FN;G2;G2N;G2F;G2FN;G1FS1;G2S1;G2FS1;G2FNS1;GP20;G2S2;G2NS2;G2FS2;G2FNS2
FA1;;1;;;1;;;;;;;;;;;;;;;;;;;
G0;1;;1;1;;;1;;;;;;;;;;;;;;;;;
G0N;;1;;;;;;;;;;;1;;;;;;;;;;;
G0F;;1;;;1;1;;1;1;;;;;;;;;;;;;;;
M5;1;;;1;;;;;;;;;;;;;;;;;;;;
G0FN;;;;1;;;;;;1;1;;;;;;;;;;;;;
G1;;1;;;;;;;;;;1;;;;;1;;;;;;;
G16F;;;;1;;;;;1;1;;;;1;;1;;;;;;;;
G13F;;;;1;;;;1;;;1;;;1;;1;;;;;;;;
G16FN;;;;;;1;;1;;;1;;;;1;;;;1;;;;;
G13FN;;;;;;1;;;1;1;;;;;1;;;;1;;;;;
G2;;;;;;;1;;;;;;;;;;1;;;;;;;
G2N;;;1;;;;;;;;;;;;;;;;;;;1;;
G2F;;;;;;;;1;1;;;;;;1;;;1;;;;;;
G2FN;;;;;;;;;;1;1;;;1;;;;;1;;;;;
G1FS1;;;;;;;;1;1;;;;;;;;;1;;;;;;
G2S1;;;;;;;1;;;;;1;;;;;;;;;1;;;
G2FS1;;;;;;;;;;;;;;1;;1;;;1;;;;1;
G2FNS1;;;;;;;;;;1;1;;;;1;;;1;;;;;;1
GP20;;;;;;;;;;;;;;;;;;;;;;;;
G2S2;;;;;;;;;;;;;;;;;1;;;;;;;
G2NS2;;;;;;;;;;;;;1;;;;;;;;;;;
G2FS2;;;;;;;;;;;;;;;;;;1;;;;;;1
G2FNS2;;;;;;;;;;;;;;;;;;;1;;;;1;
